iter	Passed	Remaining
421	2341	3207
422	2347	3201
423	2352	3195
424	2357	3189
425	2363	3184
426	2369	3179
427	2374	3173
428	2380	3168
429	2385	3161
430	2390	3155
431	2395	3149
432	2400	3142
433	2406	3137
434	2411	3132
435	2416	3125
436	2421	3120
437	2427	3114
438	2431	3107
439	2436	3101
440	2441	3094
441	2446	3088
442	2451	3081
443	2456	3075
444	2461	3069
445	2465	3063
446	2470	3056
447	2475	3050
448	2480	3044
449	2485	3038
450	2490	3032
451	2495	3026
452	2500	3019
453	2505	3013
454	2511	3008
455	2516	3002
456	2521	2995
457	2526	2989
458	2531	2983
459	2535	2976
460	2541	2971
461	2546	2965
462	2552	2960
463	2557	2954
464	2562	2948
465	2567	2942
466	2572	2935
467	2577	2929
468	2581	2923
469	2586	2917
470	2591	2910
471	2597	2905
472	2602	2899
473	2609	2895
474	2614	2889
475	2620	2884
476	2625	2878
477	2631	2873
478	2636	2867
479	2641	2862
480	2648	2857
481	2653	2851
482	2660	2847
483	2665	2842
484	2672	2838
485	2679	2833
486	2686	2830
487	2691	2824
488	2697	2819
489	2703	2813
490	2708	2807
491	2715	2803
492	2720	2797
493	2726	2792
494	2733	2788
495	2739	2783
496	2744	2777
497	2753	2775
498	2758	2769
499	2764	2764
500	2769	2758
501	2774	2752
502	2779	2746
503	2784	2740
504	2789	2734
505	2794	2728
506	2799	2722
507	2805	2716
508	2809	2710
509	2815	2705
510	2820	2699
511	2825	2693
512	2831	2687
513	2836	2681
514	2841	2675
515	2845	2669
516	2850	2663
517	2855	2657
518	2860	2651
519	2865	2645
520	2870	2639
521	2875	2633
522	2880	2627
523	2885	2621
524	2890	2615
525	2895	2609
526	2900	2603
527	2905	2597
528	2910	2591
529	2916	2585
530	2921	2579
531	2926	2574
532	2931	2568
533	2937	2563
534	2943	2558
535	2949	2553
536	2955	2547
537	2960	2542
538	2966	2536
539	2971	2531
540	2977	2525
541	2982	2520
542	2987	2514
543	2993	2508
544	2997	2502
545	3002	2496
546	3008	2491
547	3013	2485
548	3017	2479
549	3023	2473
550	3028	2467
551	3033	2462
552	3039	2456
553	3044	2450
554	3049	2445
555	3054	2439
556	3060	2433
557	3065	2428
558	3071	2422
559	3075	2416
560	3080	2410
561	3085	2404
562	3090	2399
563	3095	2393
564	3100	2387
565	3105	2381
566	3110	2375
567	3114	2369
568	3120	2363
569	3125	2357
570	3130	2351
571	3135	2345
572	3140	2340
573	3145	2334
574	3150	2328
575	3156	2323
576	3161	2317
577	3166	2311
578	3171	2306
579	3176	2300
580	3181	2294
581	3186	2288
582	3192	2283
583	3197	2277
584	3202	2271
585	3207	2266
586	3212	2260
587	3217	2254
588	3222	2248
589	3227	2242
590	3232	2236
591	3237	2231
592	3242	2225
593	3248	2220
594	3253	2214
595	3258	2208
596	3264	2203
597	3269	2197
598	3274	2192
599	3279	2186
600	3284	2180
601	3289	2174
602	3295	2169
603	3300	2163
604	3305	2157
605	3310	2152
606	3315	2146
607	3321	2141
608	3327	2136
609	3334	2132
610	3339	2126
611	3345	2121
612	3351	2115
613	3356	2110
614	3362	2105
615	3368	2100
616	3376	2095
617	3381	2090
618	3387	2085
619	3394	2080
620	3401	2075
621	3406	2069
622	3412	2064
623	3418	2059
624	3423	2053
625	3430	2049
626	3435	2043
627	3442	2038
628	3446	2033
629	3452	2027
630	3458	2022
631	3464	2017
632	3469	2011
633	3474	2006
634	3481	2001
635	3486	1995
636	3493	1990
637	3498	1984
638	3504	1979
639	3509	1973
640	3514	1968
